iter	Passed	Remaining
0	1	109
1	2	104
2	3	103
3	4	96
4	5	95
5	6	94
6	7	99
7	8	101
8	9	100
9	11	99
10	12	98
11	13	96
12	14	95
13	15	94
14	16	92
15	17	90
16	18	89
17	19	89
18	20	87
19	21	87
20	23	87
21	24	86
22	25	85
23	26	83
24	27	81
25	28	80
26	29	78
27	30	77
28	31	76
29	32	75
30	33	74
31	34	73
32	35	71
33	36	70
34	38	70
35	40	71
36	41	70
37	42	68
38	43	67
39	44	66
40	45	65
41	46	63
42	47	62
43	48	61
44	49	59
45	49	58
46	50	57
47	52	56
48	53	55
49	54	54
50	55	53
51	56	52
52	57	50
53	58	49
54	58	48
55	59	46
56	60	45
57	61	44
58	62	43
59	63	42
60	64	41
61	65	40
62	66	39
63	67	38
64	68	37
65	69	36
66	71	35
67	72	34
68	73	32
69	74	31
70	75	30
71	76	29
72	77	28
73	78	27
74	79	26
75	80	25
76	81	24
77	82	23
78	83	22
79	84	21
80	85	20
81	86	18
82	87	17
83	88	16
84	89	15
85	90	14
86	91	13
87	92	12
88	93	11
89	94	10
90	95	9
91	97	8
92	98	7
93	99	6
94	100	5
95	101	4
96	102	3
97	103	2
98	104	1
99	105	0
